Naam fonds,Categorie,Regio / provincie,Statutaire doelstelling (samenvatting),Doelgroep,Relevant voor welk type landgoedplan,Orde grootte bedrag,Aanvraagprocedure / deadlines,Vereiste documenten voor aanvraag,Contact,Bron (URL),Status / opmerking
Stichting Dr. Hendrik Muller's Vaderlandsch Fonds,Landelijk vermogensfonds,Landelijk,Belangen van het Nederlandse volk dienen via studiebeurzen en steun aan cultuurhistorische/wetenschappelijke projecten.,Getalenteerde Nederlandse studenten (beurzen) en organisaties met cultuurhistorische projecten,"Restauratie rijksmonumenten (kerken, orgels, kunstvoorwerpen), wetenschappelijke publicaties over erfgoed",2025: totaal €656.835 aan 217 project-/publicatiebeurzen (individuele bedragen variëren),"Aparte criteria beurzen vs. subsidies, zie website; ca. 362 projectaanvragen/jaar","Officiële naam en rekeningnummer organisatie, meest actuele jaarrekening. Aanvraag minimaal 3 maanden vóór projectstart, alleen via aanvragenmullerfonds.nl. LET OP: bij categorie Monumenten lijken privégebruik, groot onderhoud, nieuwbouw en verduurzaming uitgesloten — vooraf navragen of een restauratieproject wel past.","info@mullerfonds.nl, 070 3831241",https://www.mullerfonds.nl/,Aanvraagbaar.
SBNL Natuurfonds,Regionaal/thematisch fonds,"Utrecht, Gelderland, Overijssel","Herstel, behoud en beheer van het Nederlandse cultuurlandschap.","Particuliere landeigenaren, natuurinitiatieven, wetenschappelijke onderzoekers","Aanleg groene landschapselementen, natuuronderzoek, weidevogelbescherming",€3.000 - €20.000 per project,"Aanvraagperiode 2026: vanaf 1 juli; deadline landschapselementen/weidevogels 1 sept, onderzoek 1 okt",Online aanvraagformulier op sbnlnatuurfonds.nl; exacte bijlagenchecklist niet gepubliceerd. Project moet aantoonbaar blijvend positief effect hebben op natuur/landschap. Navragen bij Maaike Brasz (maaike.brasz@sbnlnatuurfonds.nl) voor precieze bijlagen.,"sbnl@sbnlnatuurfonds.nl, 0318-578357",https://www.sbnlnatuurfonds.nl/nieuws-detailpagina/2026/07/01/van-idee-naar-impact-dien-nu-uw-aanvraag-in-voor-natuur-landschap-of-weidevogels,"Aanvraagbaar, zeer geschikt voor natuurontwikkeling op landgoed in deze 3 provincies."
Themafonds Kastelen en Historische Buitenplaatsen (Cultuurfonds + sKBL),Landelijk themafonds (Cultuurfonds),Landelijk,"Steun, kennis en innovatie bevorderen voor het behoud van kastelen en historische buitenplaatsen in Nederland.",Organisaties/stichtingen die kastelen en buitenplaatsen beheren,"Publieksprojecten (audiotours, wandelingen), klimaatadaptatie, vrijwilligerswerving, ambachtelijk vakmanschap","Startbudget €50.000; jaarlijks wervingsdoel €10.000, matching tot €20.000 door Cultuurfonds",Via aanvragen.cultuurfonds.nl,"Zelfde generieke Cultuurfonds-proces (zie Het Cultuurfonds hieronder): basis projectplan, begroting, KVK-uittreksel; volledige bijlagenlijst wordt dynamisch getoond in het onlineformulier via aanvragen.cultuurfonds.nl.",https://www.cultuurfonds.nl/contact,https://www.cultuurfonds.nl/fondsen/themafonds-kastelen-en-historische-buitenplaatsen,Aanvraagbaar. Zeer direct relevant voor landgoederen.
Arcadië Fonds (Cultuurfonds),Landelijk themafonds (Cultuurfonds),"Gelderland, Limburg, Utrecht, Overijssel","Herstelprojecten van kastelen en buitenplaatsen in de 4 genoemde provincies, incl. collecties, historische tuinen/parken, lanenstructuren.",Organisaties/stichtingen die kastelen/buitenplaatsen beheren in die provincies,"Restauratie gebouw/tuin/park/interieur, collectiebehoud",Niet gepubliceerd,Via aanvragen.cultuurfonds.nl,"Zie generieke Cultuurfonds-proces (via aanvragen.cultuurfonds.nl): projectplan, begroting, KVK-uittreksel; volledige lijst dynamisch in formulier.",https://www.cultuurfonds.nl/contact,https://www.cultuurfonds.nl/fondsen/arcadi%C3%AB-fonds,"Aanvraagbaar. LET OP: geldt NIET voor Noord-Holland, Zuid-Holland, Zeeland, Noord-Brabant."
Oldenaller Fonds (Cultuurfonds),Landelijk themafonds (Cultuurfonds),Landelijk,"Restauraties van historische buitenplaatsen, voorkeur voor tuin/park en historische interieurs.","Organisaties/stichtingen, historische buitenplaatsen","Restauratie buitenplaats, tuin/park, interieur, kunstwerken/collecties",Niet gepubliceerd,Via aanvragen.cultuurfonds.nl,"Zie generieke Cultuurfonds-proces (via aanvragen.cultuurfonds.nl): projectplan, begroting, KVK-uittreksel; volledige lijst dynamisch in formulier.",https://www.cultuurfonds.nl/contact,https://www.cultuurfonds.nl/fondsen/oldenaller-fonds,"Aanvraagbaar. Eerder gesteund: Kasteel Loenersloot, Huis Sevenaer, Kasteel de Haar."
Gertrudis Offenberg Fonds (Cultuurfonds),Landelijk themafonds (Cultuurfonds),Landelijk,"Behoud historische tuinen en parken, kennisoverdracht tussen groen-erfgoedvakmensen, investering in jong talent.","Organisaties met historische tuinen/parken, opleidingsinstellingen, erfgoedtuiniers","Opleiding/stages historisch tuinieren, kennisuitwisseling, materieel, vrijwilligerstraining",Niet gepubliceerd,Via aanvragen.cultuurfonds.nl,"Zie generieke Cultuurfonds-proces (via aanvragen.cultuurfonds.nl): projectplan, begroting, KVK-uittreksel; volledige lijst dynamisch in formulier.",https://www.cultuurfonds.nl/contact,https://www.cultuurfonds.nl/fondsen/gertrudis-offenberg-fonds,Aanvraagbaar. Zeer geschikt voor historische tuinen/parken op landgoed.
Osieck-Winkelman Fonds (Cultuurfonds),Landelijk themafonds (Cultuurfonds),Landelijk,Behoud van groene monumenten in Nederland.,Organisaties/stichtingen gericht op erfgoedbehoud en landschapsbeheer,"Historische tuinen/parken, buitenplaats-groen, historische landbouwpercelen/kassen",Niet gepubliceerd,Via aanvragen.cultuurfonds.nl,"Zie generieke Cultuurfonds-proces (via aanvragen.cultuurfonds.nl): projectplan, begroting, KVK-uittreksel; volledige lijst dynamisch in formulier.",https://www.cultuurfonds.nl/contact,https://www.cultuurfonds.nl/fonds/osieck-winkelman-fonds,Aanvraagbaar.
Staargaard-Van Oostrom Meyjes Fonds (Cultuurfonds),Landelijk themafonds (Cultuurfonds),Landelijk (buiten de Randstad),"Duurzame projecten buiten de Randstad op gebied van natuur, landschap, molens en erfgoed.",Culturele organisaties/instellingen buiten de Randstad,"Natuurbehoud, monumentenzorg, educatie",Niet gepubliceerd,Via aanvragen.cultuurfonds.nl,"Zie generieke Cultuurfonds-proces (via aanvragen.cultuurfonds.nl): projectplan, begroting, KVK-uittreksel; volledige lijst dynamisch in formulier.",https://www.cultuurfonds.nl/contact,https://www.cultuurfonds.nl/fondsen/staargaard-van-oostrom-meyjes-fonds,"Aanvraagbaar, relevant voor alle provincies buiten de Randstad."
Renée Pigeaud Fonds / Leestekens van het Landschap (Cultuurfonds),Landelijk themafonds (Cultuurfonds),Landelijk,Projecten rond historische landschapselementen en bewustwording daarvan.,"Organisaties werkzaam aan landschapsbehoud, natuureducatie, erfgoed","Natuureducatiecentra, restauratie landschapselementen, publicaties",Niet gepubliceerd,Via aanvragen.cultuurfonds.nl,"Zie generieke Cultuurfonds-proces (via aanvragen.cultuurfonds.nl): projectplan, begroting, KVK-uittreksel; volledige lijst dynamisch in formulier.",https://www.cultuurfonds.nl/contact,https://www.cultuurfonds.nl/fondsen/leestekens-van-het-landschap-fonds,Aanvraagbaar.
Gansoord Fonds,Landelijk vermogensfonds / fonds op naam,Landelijk,"Restauratie van cultuur- en natuurhistorisch erfgoed steunen, en jonge vakmensen betrekken bij restauraties/opleidingen.",Erfgoedorganisaties/stichtingen met restauratieprojecten die jonge vaklieden inzetten/opleiden,Restauratie monument/landschap gecombineerd met opleiding vaklieden,Niet gepubliceerd,Eerst oriënterende e-mail; bestuur vergadert 2-3x/jaar,"NAW-gegevens aanvrager, KVK-inschrijving, jaarverslag, ANBI-status (waar relevant), projectbeschrijving, foto's/beeldmateriaal, begroting + offertes, financieel dekkingsplan, overzicht overige financiers. Bij voorkeur eerst oriënterend e-mailcontact (info@gansoord.nl).",Via gansoord.nl,https://www.gansoord.nl/doelstelling/,Aanvraagbaar.
Boerderijenfonds,Landelijk themafonds,Landelijk,"Herbestemming, verduurzaming en restauratie van agrarisch erfgoed.",Eigenaren van historische boerderijen/agrarische opstallen,Relevant voor bijgebouwen/boerderijen op landgoederen,Niet gepubliceerd,Zie eigen website,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Onbekend,https://kennisontwikkelinggroenerfgoed.nl/doen-in-historisch-groen/,"Nog te verifiëren; genoemd in meerdere provinciale bronnen (Utrecht, Flevoland)."
Stichting Kennisontwikkeling Groen Erfgoed - 'Doen in Historisch Groen',Landelijk themafonds,Landelijk,Ondersteuning van historische tuinen en parken via de regeling 'Doen in Historisch Groen'.,Beheerders van historische tuinen/parken,Onderhoud en ontwikkeling van historisch groen op landgoed,Niet gepubliceerd,Zie eigen website,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Onbekend,https://kennisontwikkelinggroenerfgoed.nl/doen-in-historisch-groen/,Nog te verifiëren.
Cultuurfonds Gelderland,Provinciale Cultuurfonds-afdeling,Gelderland,Bevorderen van cultuur- en natuurprojecten van regionaal belang in Gelderland.,Stichtingen en verenigingen (geen individuen),"Cultuur- en natuurprojecten op landgoed, algemeen","Per vooraanvraag beoordeeld, geen vast bedrag","Vooraanvraag 5 jan / 1 apr / 1 jul / 1 okt (2026), besluit resp. 3 mnd later","Generiek Cultuurfonds-proces via aanvragen.cultuurfonds.nl: basis projectplan, begroting, KVK-uittreksel; volledige lijst dynamisch in formulier. Provinciale route: max. 25% van projectkosten, tot max. €10.000.","gelderland@cultuurfonds.nl, +31 26 359 8635",https://www.cultuurfonds.nl/provinciale-afdelingen/gelderland,"Aanvraagbaar. Onder deze afdeling vallen ook Oldenaller Fonds, Eleonora van Heusden Fonds, Oene Fonds, Dina Altena Fonds (zie aparte rijen)."
Eleonora van Heusden Fonds (Cultuurfonds Gelderland),Regionaal fonds op naam,"Gelderland (Wageningen, Arnhem, Nijmegen, Zutphen, Deventer)",Bijdragen aan klassieke muziek en restauratie van molens.,Organisaties in genoemde regio,Alleen relevant bij landgoederen met molens,Niet gepubliceerd,Via aanvragen.cultuurfonds.nl,"Zelfde generieke Cultuurfonds-proces, zie Cultuurfonds Gelderland.",gelderland@cultuurfonds.nl,https://www.cultuurfonds.nl/fondsen/eleonora-van-heusden-fonds,Beperkte relevantie (alleen molens).
Oene Fonds (Cultuurfonds Gelderland),Regionaal fonds op naam,"Noord-Oost Veluwe (Epe, Heerde, Vaassen, Emst)","Cultuur- en natuurprojecten, voorkeur voor kleine kernen.",Organisaties in de regio; project mag geen overheidssteun hebben,Kleinschalige cultuur/natuurprojecten op landgoed,Jaarlijks budget ca. €5.000,Via aanvragen.cultuurfonds.nl,"Zelfde generieke Cultuurfonds-proces, zie Cultuurfonds Gelderland.",gelderland@cultuurfonds.nl,https://www.cultuurfonds.nl/fondsen/oene-fonds,"Aanvraagbaar, klein budget."
Dina Altena Fonds (Cultuurfonds Gelderland),Regionaal fonds op naam,Gelderse Achterhoek en Veluwe,"Cultuurprojecten (theater, tentoonstellingen, publicaties), incl. erfgoed/monumentenzorg.",Organisaties in de regio,Publicaties/tentoonstellingen over landgoed-erfgoed,Niet gepubliceerd,Via aanvragen.cultuurfonds.nl,"Zelfde generieke Cultuurfonds-proces, zie Cultuurfonds Gelderland.",gelderland@cultuurfonds.nl,https://www.cultuurfonds.nl/fondsen/dina-altena-fonds,Aanvraagbaar.
Fonds op Naam - Geldersch Landschap & Kasteelen (GLK),Donatie-instrument (niet aanvraagbaar),Gelderland,Donateurs kunnen een fonds op naam instellen voor een specifiek deel van GLK's eigen werk (bv. één landgoed/kasteel).,"N.v.t. — dit financiert GLK's eigen 36 kastelen/landhuizen, geen open aanvraagloket",N.v.t. voor externe landgoedeigenaren,Maatwerk in overleg,Persoonlijk gesprek met de rentmeester,"N.v.t. — geen aanvraagformulier, is een donatie-instrument (schenker neemt zelf contact op met de rentmeester).","w.vanvliet@glk.nl, 026-355 25 43",https://www.glk.nl/fonds-op-naam,GEEN aanvraagbaar fonds voor derden — alleen relevant als donatie-instrument.
Cultuurfonds Overijssel,Provinciale Cultuurfonds-afdeling,Overijssel,Cultuur- en natuurprojecten van regionaal belang in Overijssel.,Stichtingen en verenigingen,"Cultuur- en natuurprojecten op landgoed, algemeen",Per vooraanvraag beoordeeld,Vooraanvraag 5 jan / 1 apr / 1 jul / 1 okt,"Generiek Cultuurfonds-proces via aanvragen.cultuurfonds.nl: basis projectplan, begroting, KVK-uittreksel; volledige lijst dynamisch in formulier. Provinciale route: max. 25% van projectkosten, tot max. €10.000.","overijssel@cultuurfonds.nl, +31 38 499 9339",https://www.cultuurfonds.nl/provinciale-afdelingen/overijssel,Aanvraagbaar. Zie ook Marke van Streukel/Berkum Fonds.
Marke van Streukel / Marke van Berkum Fonds (Cultuurfonds Overijssel),Regionaal fonds op naam,Overijssel,"Stimuleert natuurbehoud, (rechts)wetenschap en monumentenzorg binnen Overijssel.",Organisaties/initiatieven in Overijssel,"Monumentenrestauratie, natuurbehoud, historisch onderzoek/publicaties",Niet gepubliceerd,Via aanvragen.cultuurfonds.nl,"Zelfde generieke Cultuurfonds-proces, zie Cultuurfonds Overijssel.",overijssel@cultuurfonds.nl,https://www.cultuurfonds.nl/fondsen/marke-van-streukel-marke-van-berkum-fonds,Aanvraagbaar. Duidelijkste privéfonds specifiek voor Overijssel.
Cultuurfonds Utrecht,Provinciale Cultuurfonds-afdeling,Utrecht,Cultuur- en natuurprojecten van regionaal belang in Utrecht.,Stichtingen en verenigingen,"Cultuur- en natuurprojecten op landgoed, algemeen",Per vooraanvraag beoordeeld,Vooraanvraag 5 jan / 1 apr / 1 jul / 1 okt,"Generiek Cultuurfonds-proces via aanvragen.cultuurfonds.nl: basis projectplan, begroting, KVK-uittreksel; volledige lijst dynamisch in formulier. Provinciale route: max. 25% van projectkosten, tot max. €10.000.","utrecht@cultuurfonds.nl, +31 30 258 9094 (di-do 9:30-12:00)",https://www.cultuurfonds.nl/provinciale-afdelingen/utrecht,Aanvraagbaar. Zie ook Madzy van Nagell-Martini Buys Fonds.
Madzy van Nagell-Martini Buys Fonds (Cultuurfonds Utrecht),Regionaal fonds op naam,Loenersloot e.o. (Utrecht),"Cultuur- en natuurbehoud-projecten in Loenersloot en omgeving (oeverherstel, natuurontwikkeling, cultuur).",Organisaties in de regio Loenersloot,Zeer relevant voor landgoederen/kastelen rond Loenersloot,Niet gepubliceerd,Via aanvragen.cultuurfonds.nl,"Zelfde generieke Cultuurfonds-proces, zie Cultuurfonds Utrecht.",utrecht@cultuurfonds.nl,https://www.cultuurfonds.nl/fondsen/madzy-van-nagell-martini-buys-fonds,"Aanvraagbaar, sterk regionaal (Loenersloot)."
Fonds op Naam - Utrechts Landschap,Donatie-instrument (niet aanvraagbaar),Utrecht,Donateur bepaalt zelf bestedingsdoel binnen natuur- en erfgoedbescherming in Utrecht (bv. stinzenflora op landgoederen).,"N.v.t. — donatie-instrument, geen aanvraagbare pot voor derden",N.v.t. voor externe landgoedeigenaren,Minimumbedrag €50.000 (evt. 5 jaarlijkse termijnen),N.v.t.,"N.v.t. — geen aanvraagformulier, is een donatie-instrument.","info@utrechtslandschap.nl, 030-220 5555",https://www.utrechtslandschap.nl/help-mee/grote-giften/fonds-op-naam,GEEN aanvraagbaar fonds voor derden.
Cultuurfonds Drenthe,Provinciale Cultuurfonds-afdeling,Drenthe,Cultuur- en natuurprojecten van regionaal belang in Drenthe.,Stichtingen en verenigingen,"Cultuur- en natuurprojecten op landgoed, algemeen",Per vooraanvraag beoordeeld,Vooraanvraag 1 apr / 1 jul / 1 okt (2026),"Generiek Cultuurfonds-proces via aanvragen.cultuurfonds.nl: basis projectplan, begroting, KVK-uittreksel; volledige lijst dynamisch in formulier.","drenthe@cultuurfonds.nl, Jikke Wildeboer 0592-365 663",https://www.cultuurfonds.nl/provinciale-afdelingen/drenthe,"Aanvraagbaar. Zie ook Ger Jansen Fonds (natuurbehoud Drenthe, zelfde ingang)."
Fonds op Naam - Het Drentse Landschap / Natuurfonds Drenthe,Donatie-instrument (niet aanvraagbaar),Drenthe,"Donateur bepaalt bestedingsdoel (natuurgebied, soortbescherming, cultuurhistorisch erfgoed) in Drenthe.",N.v.t. — donatie-instrument,N.v.t. voor externe landgoedeigenaren,"Minimumbedrag €50.000 (fonds op naam); symbolisch €7,50/m² (natuurfonds)",N.v.t.,"N.v.t. — geen aanvraagformulier, is een donatie-instrument.","info@drentslandschap.nl, 0592-313552",https://www.drentslandschap.nl/steun-ons/fonds-op-naam,GEEN aanvraagbaar fonds voor derden.
Drents Monumentenfonds (via Nationaal Restauratiefonds),Publiek/hybride (buiten scope fondsen),Drenthe,"Provincie Drenthe stelt middelen beschikbaar, Restauratiefonds voert financiering uit.",Eigenaren rijks-/gemeentelijke monumenten in Drenthe,Restauratie monument op landgoed,"€10.000 - €450.000, rente 1,5%, looptijd tot 30 jaar",Via restauratiefonds.nl,"Zie procedure Restauratiefonds-hypotheek (kostenraming, vergunning, verzekering); provinciale voorwaarden kunnen afwijken — navragen bij restauratiefonds.nl.",Zie restauratiefonds.nl,https://restauratiefonds.nl/monumenteigenaren/financieringen/drents-monumentenfonds,"PUBLIEK-PRIVATE leningsregeling — geen zuiver privaat vermogensfonds, wel bruikbaar als financieringsbron."
