Naam fonds,Categorie,Regio/provincie,Statutaire doelstelling,Doelgroep,Relevant voor welk type landgoedplan,Orde grootte bedrag,Aanvraagprocedure/deadlines,Vereiste documenten,Contact,Bron (URL),Status/opmerking,Type aanvrager,Verdienmodel voor landgoed
Jeugdfonds Sport & Cultuur,Landelijk donatie-instrument,Landelijk (regionale afdelingen),Zorgt dat kinderen uit gezinnen met laag inkomen kunnen sporten of aan cultuur deelnemen door contributie/lesgeld te vergoeden.,Kinderen (4-18 jaar) uit gezinnen met laag inkomen,Toegankelijk maken van betaalde natuur-/erfgoededucatieve cursussen of scoutingactiviteiten op landgoed voor kinderen in armoede,"Contributie/lesgeld per kind, direct aan aanbieder betaald","Alleen via geregistreerde intermediairs (""Meerkrachten""); doorlopend",Aanvraag via intermediair; geen documenten door aanbieder zelf,Via allekinderendoenmee.nl,https://www.allekinderendoenmee.nl/,"Geverifieerd; individueel donatie-instrument, geen projectsubsidie voor landgoed zelf",N.v.t. (donatie-instrument / niet aanvraagbaar),Indirecte bezoekersinkomsten
Charema Fonds voor geschiedenis en kunst (Cultuurfonds),Publicaties/kunsthistorisch onderzoek,Landelijk,Themafonds binnen het Cultuurfonds dat publicaties ondersteunt waarin beeldende kunst als bron voor historisch onderzoek dient of in een bredere historische context wordt geplaatst.,Uitgevers en onderzoekers die wetenschappelijke publicaties maken die beeldende kunst met geschiedschrijving combineren,"Cultuurhistorisch onderzoek/publicatieplan over landgoed, kunstcollectie of interieur",Niet gepubliceerd,Via aanvragen.cultuurfonds.nl; geen specifieke deadline vermeld,Niet gepubliceerd,cultuurfonds.nl/contact,https://www.cultuurfonds.nl/fondsen/charema-fonds-voor-geschiedenis-en-kunst,"Bestaand themafonds, actief",Beide mogelijk,Directe subsidie aan landgoed
De Gijselaar-Hintzenfonds,Publicaties/kunsteducatie beeldende kunst,Landelijk,"Bevordert kunstzin, begrip en kennis van beeldende kunst bij een breed publiek, o.a. via aankoop/vervaardiging van kunstrepresentaties en kunsteducatie.",Organisaties/instellingen met projecten voor kunsteducatie en -documentatie in Nederland,Publicatie- of documentatieproject over kunst(collectie) op landgoed/buitenplaats,Beperkt van omvang; exact bedrag niet gepubliceerd,Eén document (max. 2000 woorden) per e-mail; sluiting 2 weken vóór begin april/september/december,Projectvoorstel + begroting + financieringsplan in 1 document,aanvraag@degijselaarhintzenfonds.nl,https://www.degijselaarhintzenfonds.nl/procedure/,"Actief, kleinschalig fonds; procedure geverifieerd",Derde partij op landgoed,Locatievergoeding via begroting derde
Molenambacht Fonds (Cultuurfonds),Ambachten/vakmanschap,Landelijk,"Stimuleert initiatieven die het molenaarsambacht en aanverwante ambachten (molenmakers, roedenmakers, smeden, rietdekkers, touwslagers) in stand houden.","Molenstichtingen, erfgoededucatie-instellingen, museale/vrijwilligersorganisaties rond molens",Behoud/opleiding ambacht t.b.v. molen op landgoed/buitenplaats,Niet gepubliceerd,Via aanvragen.cultuurfonds.nl,Niet gepubliceerd,cultuurfonds.nl/contact,https://www.cultuurfonds.nl/fondsen/molenambacht-fonds,Actief sinds 2019; molenaarsambacht is UNESCO immaterieel erfgoed,Beide mogelijk,Directe subsidie aan landgoed
"Cultuurfondsbeurzen (incl. MBO-beurzen meubelrestauratoren, dansers, musici) (Cultuurfonds)",Ambachten & podiumkunsten (individuele beurzen),Landelijk,"Ondersteunt getalenteerde afgestudeerden bij een volgende stap via studie- of onderzoeksverblijf, o.a. voor meubelrestauratoren, dansers en musici.","Individuele afgestudeerden/studenten in kunst, cultuur en restauratievakken",Individuele opleidingsondersteuning voor vakmensen/uitvoerenden die op landgoed werkzaam zijn of er optreden,"Max. 50% van kosten, max. €25.000 per beurs",HBO/WO: 1 feb–1 apr; MBO: 1 feb–15 mrt (alleen via aangesloten opleidingen),Niet volledig gepubliceerd,aanvragen.cultuurfonds.nl,https://www.cultuurfonds.nl/cultuurfondsbeurzen-voor-studenten,"Individuele beurs, geen organisatiesubsidie",N.v.t. (donatie-instrument / niet aanvraagbaar),N.v.t. — donatie-instrument
VandenEnde Foundation (VDEF),Podiumkunsten/talentontwikkeling,Landelijk,"Bevordert ondernemerschap in cultuur en ondersteunt jonge artistieke talenten in podiumkunsten, beeldende kunst en audiovisuele media.",Jonge individuele talenten (tot 28 jaar) en culturele instellingen/initiatieven,Talentontwikkeling/optreden van jonge kunstenaar op landgoed (niet: organisatie van concertreeksen),Ideeënbus: €5.000 (10x per ronde); overige projectfinanciering niet gepubliceerd,Ideeënbus: deadline 31 augustus; Projectfinanciering: aanvraagvenster 15 dec–30 jan; beurzen tijdelijk gesloten,Voorstel max. 400 woorden + begroting via FindNFund,"info@vdef.nl, 020-5745075",https://vdef.nl/aanvragen/,Let op: financiert expliciet GEEN organisatie van concertreeksen,Derde partij op landgoed,N.v.t. — donatie-instrument
Fonds 21,Podiumkunsten/kunst & cultuur,Landelijk,"Maakt ruimte voor kunst- en maatschappelijke initiatieven die jongeren helpen nieuwe perspectieven te ontwikkelen, met pijler Podiumkunsten voor producties met landelijk bereik.",Professionele kunst- en cultuurinstellingen en makers (min. 3 jaar ervaring),Podiumkunstproductie/festival met landelijk bereik die op landgoed wordt uitgevoerd,Niet gepubliceerd,"Eerst ""snelcheck"" op aanvragen.fonds21.nl",Niet volledig gespecificeerd,"info@fonds21.nl, Utrecht",https://www.fonds21.nl/voorwaarden/1/podiumkunsten,Groot landelijk privaat vermogensfonds,Derde partij op landgoed,Locatievergoeding via begroting derde
Fonds Maatschappelijk betrokken amateurtheater (Cultuurfonds),Podiumkunsten (amateurtheater),Landelijk,"Ondersteunt projecten die bijdragen aan vernieuwing van amateurtheater in Nederland, met name voorstellingen die actuele maatschappelijke thema's vertalen.",Amateurtheatergroepen en -organisaties in Nederland,Buitentheatervoorstelling/amateurtheaterproject op landgoed,Niet gepubliceerd,Via aanvragen.cultuurfonds.nl,Niet gepubliceerd,cultuurfonds.nl/contact,https://www.cultuurfonds.nl/fondsen/fonds-maatschappelijk-betrokken-amateurtheater,"Let op: vermogen was al in 2022 grotendeels uitgekeerd, controleer actuele status",Derde partij op landgoed,Locatievergoeding via begroting derde
Cultuurfonds Conservatoren Stipendium (Cultuurfonds),Kunsthistorisch onderzoek,Landelijk,Ondersteunt musea en erfgoedinstellingen bij collectieonderzoek: senior conservator doet onderzoek terwijl junior conservator werkervaring opdoet.,"Bij ICOM aangesloten Nederlandse musea en collectiehoudende instellingen, incl. landgoederen, kastelen en buitenplaatsen zonder rijksgefinancierd onderzoeksbudget",Kunsthistorisch collectieonderzoek naar landgoed-/kasteelcollectie,€25.000 per toekenning,Deadline 1 juli; beoordeling september; uitslag eind september,"Aanvraagformulier, recent KvK-uittreksel, projectplan",hans@cultuurfonds.nl / annemarie.willems@cultuurfonds.nl,https://www.cultuurfonds.nl/conservatoren-stipendium,"Zeer relevant: pagina noemt expliciet ""landgoederen, kastelen, buitenplaatsen""",Landgoedeigenaar zelf,Directe subsidie aan landgoed
Pruijt Prins Beeld en Dansfonds (Cultuurfonds),Podiumkunsten (dans/beeldhouwkunst),Landelijk,"Ondersteunt de creatieve ontwikkeling van vrouwelijke beeldhouwers, dansers en choreografen via projectbijdragen.","Vrouwelijke beeldhouwers, dansers en choreografen",Dansproductie/beeldende kunstproject dat op landgoed wordt getoond of opgevoerd,€1.500–€12.500 per project,Via aanvragen.cultuurfonds.nl; geen vaste deadline,Niet gepubliceerd,cultuurfonds.nl/contact,https://www.cultuurfonds.nl/fondsen/pruijt-prins-beeld-en-dansfonds,Niche-doelgroep (uitsluitend vrouwelijke makers),Derde partij op landgoed,Locatievergoeding via begroting derde
Fonds Eindbestemming (het Cultuurfonds),Funerair erfgoed,Landelijk,"Ondersteunt het in stand houden en restaureren van familiegraven, en het ordenen/beschrijven van particuliere familiearchieven en het publiceren van egodocumenten.",Organisaties/stichtingen en (via aanvragende partij) particulieren met familiegraven of -archieven,Restauratie grafkelder/familiegraf op landgoed; ontsluiting familiearchief van het landgoed,Niet gepubliceerd,"Doorlopend, via aanvragen.cultuurfonds.nl",Niet gepubliceerd,cultuurfonds.nl/contact,https://www.cultuurfonds.nl/fondsen/fonds-eindbestemming,"""Fonds op naam"" binnen het Cultuurfonds, geen zelfstandige rechtspersoon",Beide mogelijk,Directe subsidie aan landgoed
Fonds Perzik van Onsterfelijkheid (het Cultuurfonds),Funerair erfgoed,Landelijk,"Steunt behoud, herstel en instandhouding van graven van overleden Nederlandse cultuurdragers.",Rechtspersonen en particulieren die een graf van een Nederlandse cultuurdrager willen restaureren,"Restauratie grafmonument op landgoed, mits het een bekende Nederlandse cultuurpersoon betreft",Niet gepubliceerd,Jaarlijkse ronde; aanvraag per e-mail naar info@cultuurfonds.nl,"Toestemming rechthebbende grafrechten (50 jaar niet ruimen), toestemming begraafplaatsbeheerder",info@cultuurfonds.nl,https://www.cultuurfonds.nl/fonds-perzik-van-onsterfelijkheid,Smalle doelgroep (alleen graven van bekende cultuurpersonen),Beide mogelijk,Directe subsidie aan landgoed
Welcker Fonds (het Cultuurfonds),Funerair en religieus erfgoed,Landelijk,"Steunt cultuur- en natuurbehoud met voorkeur voor doopsgezind (Mennonitisch) erfgoed: kerken, orgels, historisch onderzoek.",Organisaties/stichtingen gelieerd aan doopsgezinde gemeenten en erfgoed,Restauratie van een doopsgezinde kapel/familiebegraafplaats op een landgoed,Niet gepubliceerd,"Doorlopend, via aanvragen.cultuurfonds.nl",Niet gepubliceerd,cultuurfonds.nl/contact,https://www.cultuurfonds.nl/fondsen/welcker-fonds,Smal toepassingsgebied: alleen bij doopsgezinde link,Beide mogelijk,Directe subsidie aan landgoed
Fonds voor Archeologie en Publiek (het Cultuurfonds),Archeologie en cultuurlandschap,Landelijk,Ondersteunt initiatieven op het gebied van archeologische publiekscommunicatie en -participatie.,"Organisaties, musea, stichtingen en individuen die publiek betrekken bij archeologie",Publieksgerichte ontsluiting van archeologische vondsten/grafheuvels op landgoed,Niet gepubliceerd,"Doorlopend, via aanvragen.cultuurfonds.nl",Niet gepubliceerd,cultuurfonds.nl/contact,https://www.cultuurfonds.nl/fondsen/fonds-voor-archeologie-en-publiek,"Onderdeel Cultuurfonds ""fondsen op naam""",Beide mogelijk,Directe subsidie aan landgoed
Regeling voor Publieksarcheologie (het Cultuurfonds),Archeologie en cultuurlandschap,Landelijk (voorkeur ondervertegenwoordigde regio's),"Financiële bijdrage aan kleinschalige, laagdrempelige initiatieven op het gebied van publieksparticipatie in de archeologie.","Individuen met aantoonbare betrokkenheid bij archeologie, non-profitorganisaties","Kleinschalig (publieks-)archeologisch onderzoek op landgoed, bijv. grafheuvels/oude verkaveling",Max. €25.000; onder €5.000 tot 100% van kosten; €5.000-€25.000 max. 50%,Doorlopende aanvraag via aanvragen.cultuurfonds.nl,Niet in detail gepubliceerd,cultuurfonds.nl/contact,https://www.cultuurfonds.nl/monumentenzorg-erfgoed/regeling-voor-publieksarcheologie,"Geverifieerd, concrete bedragen gepubliceerd",Beide mogelijk,Directe subsidie aan landgoed
Reuvensfonds (Stichting Reuvens),Archeologie en cultuurlandschap,Landelijk,"Steunt initiatieven met meerwaarde voor de Nederlandse archeologische gemeenschap, gericht op kwaliteit, verbinding en duurzaamheid in het vakgebied.",Archeologische professionals en initiatieven,Kleinschalige (co-)financiering van archeologisch onderzoek naar grafheuvels/cultuurlandschap op landgoed,Jaarlijks min. €4.000 beschikbaar; individuele aanvragen €250-€2.000,Beoordeling door commissie; geen vaste deadline,Niet gepubliceerd in detail,fonds@reuvens.nl,https://www.reuvensdagen.nl/reuvensfonds/,"Kleine bedragen, doelgroep primair archeologische vakgemeenschap",Derde partij op landgoed,Geen — alleen maatschappelijke waarde
Carolijn Jongsma Fonds (het Cultuurfonds),Historische tuinen en parken / ambachten,Landelijk,"Ondersteunt restauratie van panden met (oorspronkelijk) woonfunctie inclusief interieur en tuinen, en restauratie van boeken/manuscripten/textiel in museale collecties.","Stichtingen die kastelen en landgoederen beheren, musea, erfgoedorganisaties","Restauratie van interieur, historische tuinaanleg of parkonderdelen op landgoed/buitenplaats",Niet gepubliceerd,Via aanvragen.cultuurfonds.nl,Niet gepubliceerd,cultuurfonds.nl/contact,https://www.cultuurfonds.nl/fondsen/carolijn-jongsma-fonds,"Zeer relevant: doelgroepomschrijving noemt expliciet ""stichtingen die kastelen en landgoederen beheren""",Landgoedeigenaar zelf,Directe subsidie aan landgoed
Streekfonds Achterhoek,Water en klimaatadaptatie / Voedsel en korte ketens,"Achterhoek, Gelderland","Versterking en verfraaiing van het Achterhoekse coulisselandschap (flora, fauna, water- en luchtkwaliteit) via houtwallen, struwelen, beekdalen, hoogstamboomgaarden en poelen.","Grondeigenaren/agrariërs, bewoners, gemeenten, bedrijven",Beekherstel/waterberging en hoogstamboomgaard-onderdeel van een landgoedplan,Niet gepubliceerd,"Werkwijze ""D'r An'"" (overheid/bedrijfsleven/bewoners bundelen bijdragen); niet gedetailleerd gepubliceerd",Niet gepubliceerd,info@streekfondsachterhoek.nl,https://streekfondsachterhoek.nl/,"Bestaand, ANBI sinds 2015; bedrag/procedure niet volledig gepubliceerd, navraag nodig",Beide mogelijk,Directe subsidie aan landgoed
Streekfonds Waterland,Water en klimaatadaptatie / Voedsel en korte ketens,"Waterland, Noord-Holland",Behoud en versterking van het kwetsbare cultuurhistorische landschap van Waterland.,Initiatiefnemers/projecten die passen binnen landschapsbehoud in de regio,Landschaps- en waterherstelplan; ook deelfonds voor streekproducten,Niet gepubliceerd,Voorstellen getoetst aan vastgestelde criteria; procedure niet in detail gepubliceerd,Niet gepubliceerd,info@streekfondswaterland.nl,http://streekfondswaterland.nl/,"ANBI, mede ondersteund door provincie Noord-Holland",Beide mogelijk,Directe subsidie aan landgoed
Lopikerwaarden Streekfonds,Water en klimaatadaptatie / Recreatie en routes,"Lopikerwaard, provincie Utrecht","De streek vitaler, leuker, duurzamer en mooier maken via lokale samenwerking rond landschaps- en natuureducatieprojecten.","Lokale bevolking, scholen, families, gemeenschapsinitiatieven",Landschapsverbetering/natuureducatie-onderdeel van landgoedplan,Niet gepubliceerd,Niet gedetailleerd gepubliceerd; contact opnemen,Niet gepubliceerd,"streekfonds@lopikerwaarden.nl, 06-54218341",https://www.lopikerwaarden.nl/,Bestaand en actief; bedrag en procedure niet volledig gepubliceerd,Beide mogelijk,Directe subsidie aan landgoed
Landschapsfonds Het Groene Woud,Recreatie en routes / Water en klimaatadaptatie,"Nationaal Landschap Het Groene Woud, Noord-Brabant",Financiële ondersteuning van projecten die de kernkwaliteiten van Het Groene Woud versterken; soms prioriteit voor zandpaden/wandelpaden.,"""Vrienden van Het Groene Woud"" en andere initiatiefnemers/bijdragers in de regio",Recreatieve paden (zandpaden) en landschapsherstel op landgoed,Niet gepubliceerd; 5% adviseurskosten over toegekend bedrag,Aanvraagformulier + bijlagen → projectadviescommissie → toekenningsbrief,"Aanvraagformulier, projectplan/begroting","Streekhuis, Johan van Cuyck",https://www.hetgroenewoud.com/organisatie/streekfonds/bijdrage-aanvragen/,"Bestaand en actief, onderdeel Stichting Het Groene Woud",Beide mogelijk,Directe subsidie aan landgoed
Fonds Natuurinclusieve Streekboerderijen (FNS Fonds B.V.),Voedsel en korte ketens,Landelijk,"Natuurinclusieve landbouw stimuleren door boeren/streekbewoners te verbinden en kringlopen te sluiten, via aandeleninvesteringen in streekboerderijen.",Agrarische ondernemers/streekboerderijen en investeerders/streekbewoners,"Verduurzaming van landbouw-/pachtgrond op landgoed, agroforestry/voedselbosbouw",Niet gepubliceerd,Contact via secretariaat,Niet onderzocht,secretariaat@streekboerderijen.nl,https://www.streekboerderijen.nl/over-ons/,"LET OP: investeringsfonds (B.V., aandelenbelegging), géén subsidiefonds",Derde partij op landgoed,Pacht/huur
"Voedselbosfonds (werktitel; coalitie Stichting Voedselbosbouw Nederland, Rabobank, Triodos Bank, Greenchoice, Perspectieffonds Gelderland, WWF-NL)",Voedsel en korte ketens,"Landelijk; pilot bij Voedselbos Ketelbroek, Groesbeek",Boeren ondersteunen bij omschakeling naar grootschalige (≥5 ha) agrarische voedselbossen door de inkomstenarme opstartfase te overbruggen.,Agrarische ondernemers en zij-instromers met voedselbosplan ≥5 ha en haalbaar businessplan,Aanleg van (grootschalig) voedselbos op landgoedgrond,Coalitie stelde eerste fase €5 miljoen beschikbaar (leningen); bedrag per aanvraag niet gepubliceerd,Nog in opbouw (aangekondigd juni 2025); contact Stichting Voedselbosbouw Nederland,Niet gepubliceerd,"Stichting Voedselbosbouw Nederland, Tilburg",https://www.nieuweoogst.nl/nieuws/2025/06/24/nieuw-fonds-neemt-drempel-weg-in-opstartfase-voedselbos,"Was medio 2025 nog ""op te richten"", betreft een lening geen gift; verificatie aanbevolen",Landgoedeigenaar zelf / Derde partij op landgoed,Directe subsidie aan landgoed
Fiets en Wandelfonds (Vrienden op de Fiets),Recreatie en routes,Landelijk,"Fietsers en wandelaars op weg helpen door financiële ondersteuning van kleinschalige, duurzame initiatieven gericht op bewegen in de natuur en duurzaam toerisme.","Non-profitorganisaties (stichting, vereniging, coöperatie) met projecten voor wandelaars/fietsers",Aanleg/onderhoud van wandel- en fietsroutes op landgoed,"€2.500 – €25.000 per project (50% bij start, 50% na eindverslag)",Twee deadlines per jaar: 15 september en 15 maart,"Motivatiebrief/projectplan, begroting met dekkingsplan, KvK-uittreksel, statuten, jaarverslag",aanvragen@vriendenopdefiets.nl,https://www.vriendenopdefiets.nl/nl/page/help-sportievelingen-vooruit-doe-een-aanvraag-bij-het-fiets-en-wandelfonds,"Bestaand en actief, goed gedocumenteerd",Derde partij op landgoed,Locatievergoeding via begroting derde
HandicapNL (fusie Fonds Verstandelijk Gehandicapten & Revalidatiefonds),Gezondheid en groen / Recreatie en routes,Landelijk,"Opkomt voor mensen met een fysieke, verstandelijke of meervoudige beperking; o.a. samenwerking met Natuurmonumenten om natuurgebieden toegankelijk te maken.",Clubs/stichtingen die activiteiten organiseren voor mensen met een beperking; natuurbeherende organisaties,Toegankelijk maken van wandelpaden/routes op landgoed voor bezoekers met een beperking; georganiseerde buitenactiviteiten,"""Klein Geluk"": max. €4.000/jaar (matching op collectegelden, min. €500 opgehaald)",Aanvraagformulier → digitale collectebus → min. €500 ophalen → 50% terugbetaling; deadlines 30 juni en 31 augustus,"KvK-uittreksel (max. 3 mnd oud), begroting projectkosten","service@handicap.nl, 030-236 37 77",https://handicap.nl/projectaanvraag/aanvraag-indienen/aanvraag-indienen-kleine-lokale-projecten/,Kleine-projectenroute goed gedocumenteerd,Derde partij op landgoed,Locatievergoeding via begroting derde
